"Beat","max_lon","min_lon","max_lat","min_lat"
1111,-87.725870759,-87.745963918,41.902664731,41.887591767
1112,-87.71627324,-87.72627855,41.902752798,41.893538676
1113,-87.735360164,-87.745534061,41.887649219,41.876846894
1114,-87.72571112,-87.735651142,41.887779564,41.881942184
1115,-87.725558467,-87.735490711,41.882028183,41.876974619
1121,-87.706391436,-87.716552713,41.902825535,41.88997422
1122,-87.715276853,-87.72601898,41.893623838,41.877096
1123,-87.706129894,-87.716836788,41.890062195,41.877219644
1124,-87.696158143,-87.710994637,41.88107271,41.875887439
1125,-87.686319451,-87.696284653,41.881156174,41.875984172
1131,-87.7324995,-87.745137513,41.876990173,41.865903527
1132,-87.722752323,-87.732893646,41.877112132,41.866075655
1133,-87.68922688,-87.72582526,41.877268465,41.866209963
1134,-87.700799279,-87.710883629,41.877324023,41.866356572
1135,-87.68605275,-87.701071683,41.876076856,41.86646434
